CD_CLIENTE;SEGMENTO;FAIXA_FATURAMENTO;MARCA_TOTVS;MODALIDADE_COMERCIALIZADA;REGIAO;RESPOSTA_NPS_RELACIONAL;Tempo_Relacionamento_media;RECEITA_RECORRENTE_media;QTDE_TICKETS_media;UF;UF_AJUSTADA
T60392;SAUDE;Faixa 01 - De 4,5 M ate 7,5 M;SAUDE - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;4;2272,571429;1834595743;343;SP;SP
T60480;SAUDE;Faixa 01 - De 4,5 M ate 7,5 M;SAUDE - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;0;2490,137931;2037904286;142;SP;SP
T60502;SAUDE;Faixa 01 - De 4,5 M ate 7,5 M;SAUDE - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;4;1959,297297;863811251;415;SP;SP
T59920;JURIDICO;Faixa 00 - Ate 4,5 M;JURIDICO - PARCEIRO;MODALIDADE CORPORATIVO;Sudeste;9;4264,416667;611768606;1;SP;SP
T62318;SERVICOS;Faixa 03 - De 15 M ate 25 M;SERVICOS - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;10;2525,7;595956236;52;SP;SP
T60449;SAUDE;Faixa 07 - De 75 M ate 150 M;SAUDE - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;9;2794,264151;4803090064;333;SP;SP
T62368;VAREJO;Faixa 07 - De 75 M ate 150 M;DISTRIBUICAO & VAREJO - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;7;2909,676471;5178381769;198;SP;SP
T76003;SERVICOS;Faixa 03 - De 15 M ate 25 M;SERVICOS - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;9;2917,098039;646380092;63;SP;SP
T84651;SERVICOS;Faixa 04 - De 25 M ate 35 M;SERVICOS - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;10;2375,560976;1146790110;143;SP;SP
T84915;SERVICOS;Faixa 02 - De 7,5 M ate 15 M;SERVICOS - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;10;2951,38;567126332;100;SP;SP
T96461;JURIDICO;Faixa 00 - Ate 4,5 M;JURIDICO - PARCEIRO;MODALIDADE CORPORATIVO;Sudeste;9;3044,705882;525366628;153;SP;SP
T92154;SERVICOS;Faixa 03 - De 15 M ate 25 M;SERVICOS - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;8;3514,681818;734356877;6;SP;SP
TA0729;DISTRIBUICAO;Faixa 06 - De 50 M ate 75 M;DISTRIBUICAO & LOGISTICA - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;8;3269,857143;679441805;156;MG;MG
T96704;DISTRIBUICAO;Faixa 03 - De 15 M ate 25 M;DISTRIBUICAO & LOGISTICA - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;2;2706,293103;365958494;51;RJ;RJ
T92125;CONSTRUCAO E PROJETOS;Faixa 03 - De 15 M ate 25 M;CONSTRUCAO - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;8;2653,76087;368228909;109;MG;MG
